
PASS: 995799; IN: 0.141301; expRES: 0.140831; netOUT: 0.138272

PASS: 995800; IN: 0.707907; expRES: 0.650245; netOUT: 0.653181

PASS: 995801; IN: 0.678121; expRES: 0.627331; netOUT: 0.627016

PASS: 995802; IN: 0.268777; expRES: 0.265552; netOUT: 0.267236

PASS: 995803; IN: 0.959105; expRES: 0.818678; netOUT: 0.815552

PASS: 995804; IN: 0.102206; expRES: 0.102029; netOUT: 0.0970928

PASS: 995805; IN: 0.727622; expRES: 0.665096; netOUT: 0.66815

PASS: 995806; IN: 0.0967742; expRES: 0.0966232; netOUT: 0.0914416

PASS: 995807; IN: 0.524033; expRES: 0.500376; netOUT: 0.499317

PASS: 995808; IN: 0.324839; expRES: 0.319156; netOUT: 0.321914

PASS: 995809; IN: 0.113834; expRES: 0.113588; netOUT: 0.109083

PASS: 995810; IN: 0.355815; expRES: 0.348355; netOUT: 0.349823

PASS: 995811; IN: 0.753624; expRES: 0.684286; netOUT: 0.685199

PASS: 995812; IN: 0.836879; expRES: 0.742556; netOUT: 0.742703

PASS: 995813; IN: 0.313425; expRES: 0.308319; netOUT: 0.308871

PASS: 995814; IN: 0.536302; expRES: 0.51096; netOUT: 0.507517

PASS: 995815; IN: 0.915311; expRES: 0.792752; netOUT: 0.793424

PASS: 995816; IN: 0.11951; expRES: 0.119226; netOUT: 0.115846

PASS: 995817; IN: 0.531632; expRES: 0.506941; netOUT: 0.507765

PASS: 995818; IN: 0.575915; expRES: 0.544602; netOUT: 0.544903

PASS: 995819; IN: 0.0363475; expRES: 0.0363395; netOUT: 0.0392031

PASS: 995820; IN: 0.0698569; expRES: 0.0698001; netOUT: 0.0663468

PASS: 995821; IN: 0.640187; expRES: 0.597345; netOUT: 0.598565

PASS: 995822; IN: 0.670217; expRES: 0.621156; netOUT: 0.621619

PASS: 995823; IN: 0.597003; expRES: 0.562166; netOUT: 0.561066

PASS: 995824; IN: 0.5468; expRES: 0.519957; netOUT: 0.519509

PASS: 995825; IN: 0.664541; expRES: 0.616698; netOUT: 0.618172

PASS: 995826; IN: 0.436872; expRES: 0.423108; netOUT: 0.422226

PASS: 995827; IN: 0.162603; expRES: 0.161887; netOUT: 0.16168

PASS: 995828; IN: 0.0986663; expRES: 0.0985063; netOUT: 0.0944368

PASS: 995829; IN: 0.725608; expRES: 0.66359; netOUT: 0.666409

PASS: 995830; IN: 0.714682; expRES: 0.655378; netOUT: 0.655487

