
PASS: 995834; IN: 0, 0; expOUT: 0; netOUT: 0.000783092

PASS: 995835; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995836; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995837; IN: 0, 0; expOUT: 0; netOUT: 0.000783095

PASS: 995838; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995839; IN: 0, 0; expOUT: 0; netOUT: 0.00078309

PASS: 995840; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995841; IN: 1, 1; expOUT: 0; netOUT: 0.000731827

PASS: 995842; IN: 0, 0; expOUT: 0; netOUT: 0.000783081

PASS: 995843; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995844; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995845; IN: 1, 1; expOUT: 0; netOUT: 0.000731825

PASS: 995846; IN: 0, 0; expOUT: 0; netOUT: 0.00078308

PASS: 995847; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995848; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995849; IN: 0, 0; expOUT: 0; netOUT: 0.000783082

PASS: 995850; IN: 0, 0; expOUT: 0; netOUT: 0.000783071

PASS: 995851; IN: 0, 0; expOUT: 0; netOUT: 0.000783059

PASS: 995852; IN: 0, 0; expOUT: 0; netOUT: 0.000783048

PASS: 995853; IN: 0, 0; expOUT: 0; netOUT: 0.000783036

PASS: 995854; IN: 0, 0; expOUT: 0; netOUT: 0.000783025

PASS: 995855; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995856; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995857; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995858; IN: 1, 1; expOUT: 0; netOUT: 0.000731837

PASS: 995859; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995860; IN: 1, 1; expOUT: 0; netOUT: 0.000731827

PASS: 995861; IN: 0, 1; expOUT: 1; netOUT: 0.999314

